id,description,hierarchy_levels,type
79ecb6aa-a865-4444-9dfc-9f23232fdc45,epigraphy,"[['K', 'K02', 'K022', 'K0222']]",altLabels
79ecb6aa-a865-4444-9dfc-9f23232fdc45,identifying graphemes,"[['K', 'K02', 'K022', 'K0222']]",altLabels
79ecb6aa-a865-4444-9dfc-9f23232fdc45,study of inscriptions,"[['K', 'K02', 'K022', 'K0222']]",altLabels
79ecb6aa-a865-4444-9dfc-9f23232fdc45,classifying graphemes,"[['K', 'K02', 'K022', 'K0222']]",altLabels
79f24a62-7718-46e1-9b41-37be0560a5ca,operational resilience,"[['K', 'K04', 'K041', 'K0413']]",altLabels
79f24a62-7718-46e1-9b41-37be0560a5ca,business resilience,"[['K', 'K04', 'K041', 'K0413']]",altLabels
79f24a62-7718-46e1-9b41-37be0560a5ca,organizational  resilience,"[['K', 'K04', 'K041', 'K0413']]",altLabels
79fc83a3-9c76-4e21-b766-2e9c0f8d31eb,grid-group cultural theory,"[['K', 'K09', 'K091', 'K0913']]",altLabels
79fc83a3-9c76-4e21-b766-2e9c0f8d31eb,patient safety,"[['K', 'K09', 'K091', 'K0913']]",altLabels
79fc83a3-9c76-4e21-b766-2e9c0f8d31eb,safety theories for patients,"[['K', 'K09', 'K091', 'K0913']]",altLabels
79fc83a3-9c76-4e21-b766-2e9c0f8d31eb,high reliability theory,"[['K', 'K09', 'K091', 'K0913']]",altLabels
79fc83a3-9c76-4e21-b766-2e9c0f8d31eb,normal accident theory,"[['K', 'K09', 'K091', 'K0913']]",altLabels
7a1dcd86-8c78-40a8-b446-269438f24d72,branch operations,"[['K', 'K04', 'K041', 'K0413']]",altLabels
7a1dcd86-8c78-40a8-b446-269438f24d72,operations of subsidiary,"[['K', 'K04', 'K041', 'K0413']]",altLabels
7a1dcd86-8c78-40a8-b446-269438f24d72,subsidiary operations,"[['K', 'K04', 'K041', 'K0413']]",altLabels
7a1dcd86-8c78-40a8-b446-269438f24d72,subsidiary operation,"[['K', 'K04', 'K041', 'K0413']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,construction of storage vats,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,building of metal containers,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,assembling of metal containers,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,reservoirs and containers of metal,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,manufacturing of tanks,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,manufacturing of metal containers,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,metal container fabrication,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,assembling of storage vats,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,construction of metal containers,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a273f33-016a-47cc-b4b7-5ebeea768816,building of storage vats,"[['K', 'K07', 'K071', 'K0715']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,types of robotic components,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,electronics,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,controllers,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,robotic components,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,kinds of robotic components,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,sensors,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,hydraulics,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,circuit boards,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,encoders,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,typology of robotic components,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,servomotors,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,range of robotic components,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,pneumatics,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7a950986-27fe-4b6c-adf3-88f211e77019,microprocessors,"[['K', 'K07', 'K071', 'K0714']]",altLabels
7ae62140-fe02-4ee3-a0c5-fb5668a2870d,consumer protection,"[['K', 'K10', 'K103', 'K1032']]",altLabels
7ae62140-fe02-4ee3-a0c5-fb5668a2870d,protection of consumers,"[['K', 'K10', 'K103', 'K1032']]",altLabels
7ae62140-fe02-4ee3-a0c5-fb5668a2870d,protecting a consumer,"[['K', 'K10', 'K103', 'K1032']]",altLabels
7ae62140-fe02-4ee3-a0c5-fb5668a2870d,consumer rights,"[['K', 'K10', 'K103', 'K1032']]",altLabels
7ae62140-fe02-4ee3-a0c5-fb5668a2870d,protection of a consumer,"[['K', 'K10', 'K103', 'K1032']]",altLabels
7ae62140-fe02-4ee3-a0c5-fb5668a2870d,consumer precautions,"[['K', 'K10', 'K103', 'K1032']]",altLabels
7ae62140-fe02-4ee3-a0c5-fb5668a2870d,consumer insurance,"[['K', 'K10', 'K103', 'K1032']]",altLabels
7af76a2b-6bba-4350-9bfa-980e50c98481,single-minute exchange of dies,"[['K', 'K04', 'K041', 'K0413']]",altLabels
